,Kuntanro,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Ehdokkaan kieli,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto,Arvo/ammatti/tehtava,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa
57,91,KOK   ,2,40,FI, , ,1,449,292,741,2,1,"kaupunginvaltuutettu, KTM",14162,2442,1613,0,4849,0,691,1219,3160,105,0,83,14162
58,91,KOK   ,2,60,FI, , ,1,765,448,1213,4,1,"apulaispormestari, juristi, bitrÃ¤dande borgmÃ¤stare",19158,10326,0,0,1387,0,4495,1845,992,113,0,0,19158
59,91,KOK   ,1,49,FI, , , ,386,276,662,2,2,"ylikomisario, HTM",2840,1865,0,0,576,0,0,399,0,0,0,0,2840
60,91,KOK   ,2,72,FI, , , ,435,170,605,2,2,maatalous- ja metsÃ¤tieteiden maisteri,"1807,82","1116,62",0,0,104,0,0,118,50,0,0,"419,2","1807,82"
61,91,KOK   ,1,58,FI, , , ,248,278,526,2,2,"yrittÃ¤jÃ¤, tuottaja","6063,82","4157,48",0,0,"648,67",0,"372,00","437,72","410,75",0,0,"37,20","6063,82"
62,91,KOK   ,1,66,FI, , ,1,535,226,761,2,1,"kaupunginvaltuutettu, asiantuntijayrittÃ¤jÃ¤","28792,71","13325,64","4948,9",0,"8205,06",0,0,"453,71",1674,"185,40",0,0,"28792,71"
63,91,KOK   ,2,45,FI, , , ,436,291,727,2,2,"valtiotieteiden maisteri, johtaja",10067,4875,0,0,3593,0,0,279,1240,0,0,80,10067
64,91,KOK   ,1,35,FI, ,1,1,2366,1450,3816,11,1,"kansanedustaja, VTM","9470,33","5109,06",0,0,"2746,98",0,0,341,1150,0,0,"123,29","9470,33"
65,91,KOK   ,2,55,FI, ,1, ,1931,927,2858,9,1,"kansanedustaja, terveydenhuollon maisteri","6230,64","2550,94",0,0,"1859,82",0,0,"1140,16",650,0,0,"29,72",6231
66,91,KOK   ,2,63,FI, , , ,403,221,624,2,2,"meteorologi, projektipÃ¤Ã¤llikkÃ¶","2133,6","1103,6",0,0,410,0,0,0,620,0,0,0,"2133,6"
67,91,KOK   ,2,38,SV, , ,1,409,446,855,3,1,"kaupunginvaltuutettu, liiketoiminnan opettaja","1259,68","730,68",0,0,250,279,0,0,0,0,0,0,"1259,68"
68,91,KOK   ,1,28,FI, , ,1,752,555,1307,4,1,"kaupunginvaltuutettu, lakimies","34439,89","4513,60",0,0,"7011,16",0,"15564,57","4239,76","2462,00","448,80",200,0,"34439,89"
69,91,KOK   ,2,30,98, , , ,388,310,698,2,2,"LÃ¤hi-idÃ¤n asiantuntija, VTM","3833,92",0,0,0,"1385,60",0,"1513,05","245,23",0,0,0,"690,04","3874,12"
70,91,KOK   ,2,55,FI, , , ,416,342,758,2,1,"toiminnanjohtaja, erityisasiantuntija, verksamhetsledare","6589,32","4152,19",0,0,"123,96","570,97",0,"452,60","1289,60",0,0,0,"6589,32"
71,91,KOK   ,1,38,FI, , , ,240,200,440,1,2,"diplomi-insinÃ¶Ã¶ri, johtaja","6382,29","1013,39",0,0,"4068,28",0,0,"901,12",0,0,0,"399,50","6382,29"
72,91,KOK   ,2,39,FI, ,1, ,10056,5737,15793,47,1,"kansanedustaja, riksdagsledamot","78437,51","18194,98",0,0,"11285,77",0,"33438,64",4300,"8128,7",0,0,"3089,42","78517,31"
73,91,KOK   ,2,34,FI, , , ,330,179,509,2,2,varatuomari,"1913,50","660,90",0,0,0,"50,00",0,"607,60","43,40",0,0,"551,60","1913,50"
74,91,KOK   ,1,63,FI, ,1,1,9529,4369,13898,42,1,"kansanedustaja, VTT, pol.dr, riksdagsledamot","57511,53","520,8",0,0,"36683,15",0,"6277,1","2395,68","6643,92",0,0,"4990,88","57511,53"
75,91,KOK   ,2,52,FI, , , ,501,302,803,2,1,"rahoituspÃ¤Ã¤llikkÃ¶, KTM",4500,3000,0,0,0,0,1000,400,100,0,0,0,4500
