,Kuntanro,Puolue,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto
175,980,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,67, ,,,28,25,53,4,2
176,980,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,20, ,,,29,2,31,2,2
177,980,'KOK','1680',"'1068,21'",0,0,0,0,'127',"'484,79'",0,0,0,0,'1680',KOK   ,2,58, ,,1.0,110,110,220,16,1
178,980,'SDP',"'1147,14'",'393',0,0,0,0,'240',"'514,14'",0,0,0,0,"'1147,14'",SDP   ,1,69, ,,1.0,62,51,113,8,1
179,980,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,44, ,,,15,31,46,3,2
180,980,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,29, ,,,12,37,49,4,2
181,980,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,1,36, ,,,19,42,61,4,2
182,980,'KD',0,0,0,0,0,0,0,0,0,0,0,0,0,KD    ,1,35, ,,,17,64,81,6,2
183,980,'KD',0,0,0,0,0,0,0,0,0,0,0,0,0,KD    ,1,50, ,,,43,53,96,7,1
184,980,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,2,49, ,,,13,41,54,4,2
185,980,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,37, ,,,23,29,52,4,2
186,980,'VIHR',"'672,45'","'376,95'",0,0,"'106,00'","'184,50'",0,"'5,00'",0,0,0,0,"'672,45'",VIHR  ,2,43, ,,1.0,57,124,181,13,1
187,980,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,18, ,,,19,50,69,5,2
188,980,'VAS','1200','860',0,0,0,0,0,'160','110',0,0,'70','1200',VAS   ,1,57, ,,1.0,70,76,146,11,1
189,980,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,55, ,,1.0,67,69,136,10,1
190,980,'SDP',"'867,15'","'542,43'",0,0,0,0,0,"'324,72'",0,0,0,0,"'867,15'",SDP   ,1,49, ,,1.0,45,75,120,9,1
191,980,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,39, ,,1.0,26,69,95,7,1
192,980,'KESK',"'170,00'",0,0,0,0,0,0,"'170,00'",0,0,0,0,"'170,00'",KESK  ,2,46, ,,,19,38,57,4,2
193,980,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,45, ,,1.0,81,96,177,13,1
